event_id,p_star,q_star,a11,a12,a21,a22,b11,b12,b21,b22,t1,t2,t3,t4,t5,merging_id,lag_id,lead_id
0.0,0.16506374060419646,1.0,1.0,12.132104852375262,0.0,0.0,1.0,11.132104852375262,1.0,-1.003078807880788,0,11.132104852375262,0,-1.003078807880788,0,1178.0,-9999.0,1175.0
1.0,0.4393101203482118,1.0,1.0,4.556522064261836,0.0,0.0,1.0,3.556522064261836,1.0,-1.003078807880788,0,3.556522064261836,0,-1.003078807880788,0,1178.0,-9999.0,1175.0
2.0,0.3536283358134298,1.0,1.0,5.661282910399586,0.0,0.0,1.0,4.661282910399586,1.0,-1.003078807880788,0,4.661282910399586,0,-1.003078807880788,0,1178.0,-9999.0,1175.0
3.0,0.0,0.9938220365390678,1.0,-160.8656384622104,0.0,0.0,1.0,-161.8656384622104,1.0,-1.0027228722872288,0,-161.8656384622104,0,-1.0027228722872288,0,2804.0,-9999.0,2820.0
4.0,0.04110797483416381,1.0,1.0,48.715874440437005,0.0,0.0,1.0,47.715874440437005,1.0,-1.0027228722872288,0,47.715874440437005,0,-1.0027228722872288,0,2804.0,-9999.0,2820.0
5.0,0.0,0.9956651315621803,1.0,-229.68750859321483,0.0,0.0,1.0,-230.68750859321483,1.0,-1.0027228722872288,0,-230.68750859321483,0,-1.0027228722872288,0,2804.0,-9999.0,2820.0
6.0,0.016903791461233126,1.0,1.0,118.47500899516038,0.0,0.0,1.0,117.47500899516038,1.0,-1.0027228722872288,0,117.47500899516038,0,-1.0027228722872288,0,2804.0,-9999.0,2820.0
7.0,0.0,0.9848220287889381,1.0,-64.88495827895561,0.0,0.0,1.0,-65.88495827895561,1.0,-1.0030923092309232,0,-65.88495827895561,0,-1.0030923092309232,0,3355.0,-9999.0,115.0
8.0,0.0,0.9743523463941814,1.0,-37.98992147075529,0.0,0.0,1.0,-38.98992147075529,1.0,-1.0030923092309232,0,-38.98992147075529,0,-1.0030923092309232,0,3355.0,-9999.0,115.0
9.0,0.0,0.9570580259354088,1.0,-22.287238693215382,0.0,0.0,1.0,-23.287238693215382,1.0,-1.0030923092309232,0,-23.287238693215382,0,-1.0030923092309232,0,3355.0,-9999.0,115.0
10.0,0.0,0.9456204601659037,1.0,-17.38926925551134,0.0,0.0,1.0,-18.38926925551134,1.0,-1.0030923092309232,0,-18.38926925551134,0,-1.0030923092309232,0,3355.0,-9999.0,115.0
11.0,0.0,0.9563740714553961,1.0,-21.92214821233163,0.0,0.0,1.0,-22.92214821233163,1.0,-1.0030923092309232,0,-22.92214821233163,0,-1.0030923092309232,0,3355.0,-9999.0,115.0
12.0,0.0,0.9690758473606116,1.0,-31.337183549090703,0.0,0.0,1.0,-32.3371835490907,1.0,-1.0030923092309232,0,-32.3371835490907,0,-1.0030923092309232,0,3355.0,-9999.0,115.0
13.0,2.2613429510577006e-05,1.0,1.0,88579.76355891961,0.0,0.0,1.0,88578.76355891961,1.0,-1.0030923092309232,0,88578.76355891961,0,-1.0030923092309232,0,3355.0,-9999.0,115.0
14.0,0.0699224075679071,1.0,1.0,28.644266654854576,0.0,0.0,1.0,27.644266654854576,1.0,-1.0030923092309232,0,27.644266654854576,0,-1.0030923092309232,0,3355.0,-9999.0,115.0
15.0,0.08165470324775986,1.0,1.0,24.52816222430235,0.0,0.0,1.0,23.52816222430235,1.0,-1.0030923092309232,0,23.52816222430235,0,-1.0030923092309232,0,3355.0,-9999.0,115.0
16.0,0.08603802039707606,1.0,1.0,23.278386041693537,0.0,0.0,1.0,22.278386041693537,1.0,-1.0030923092309232,0,22.278386041693537,0,-1.0030923092309232,0,3355.0,-9999.0,115.0
17.0,0.09076928363486032,1.0,1.0,22.06486095664268,0.0,0.0,1.0,21.06486095664268,1.0,-1.0030923092309232,0,21.06486095664268,0,-1.0030923092309232,0,3355.0,-9999.0,115.0
18.0,0.09505647736511928,1.0,1.0,21.06956222999517,0.0,0.0,1.0,20.06956222999517,1.0,-1.0030923092309232,0,20.06956222999517,0,-1.0030923092309232,0,3355.0,-9999.0,115.0
19.0,0.0,0.9696370346781659,1.0,-31.934859602823323,0.0,0.0,1.0,-32.93485960282332,1.0,-1.0030923092309232,0,-32.93485960282332,0,-1.0030923092309232,0,3355.0,-9999.0,115.0
20.0,0.0,0.8624834113795549,1.0,-6.27184996393465,0.0,0.0,1.0,-7.27184996393465,1.0,-1.0030923092309232,0,-7.27184996393465,0,-1.0030923092309232,0,3355.0,-9999.0,115.0
21.0,0.0,0.7090039472077333,1.0,-2.436472730143421,0.0,0.0,1.0,-3.436472730143421,1.0,-1.0030923092309232,0,-3.436472730143421,0,-1.0030923092309232,0,3355.0,-9999.0,115.0
22.0,0.0,0.994591247198344,1.0,-183.8855062656644,0.0,0.0,1.0,-184.8855062656644,1.0,-1.0027930793079307,0,-184.8855062656644,0,-1.0027930793079307,0,2962.0,-9999.0,3063.0
23.0,0.0,0.9935133348124695,1.0,-153.16241953143015,0.0,0.0,1.0,-154.16241953143015,1.0,-1.0027930793079307,0,-154.16241953143015,0,-1.0027930793079307,0,2962.0,-9999.0,3063.0
24.0,0.0,0.9931182439381754,1.0,-144.3117476144401,0.0,0.0,1.0,-145.3117476144401,1.0,-1.0027930793079307,0,-145.3117476144401,0,-1.0027930793079307,0,2962.0,-9999.0,3063.0
25.0,0.0,0.9944522596606773,1.0,-179.2535697123277,0.0,0.0,1.0,-180.2535697123277,1.0,-1.0027930793079307,0,-180.2535697123277,0,-1.0027930793079307,0,2962.0,-9999.0,3063.0
