event_id,t2,t4,merging_id,lead_id,lag_id,LC,Final_follower_decision,Previous_decision,Time_lapsed,Time_norm,Time_log,Time_bin,PrevDec_0,PrevDec_1,PrevDec_2
0,11.132104852375262,-1.003078807880788,1178.0,1175.0,-9999.0,1.0,2.0,0,298.0,0.2061386013064935,5.700443573390687,3,1,0,0
1,3.556522064261836,-1.003078807880788,1178.0,1175.0,-9999.0,0.0,2.0,0,298.0,0.2061386013064935,5.700443573390687,3,1,0,0
2,4.661282910399586,-1.003078807880788,1178.0,1175.0,-9999.0,0.0,2.0,0,298.0,0.2061386013064935,5.700443573390687,3,1,0,0
3,-161.8656384622104,-1.0027228722872288,2804.0,2820.0,-9999.0,1.0,0.0,0,18.0,-0.9072623659154732,2.9444389791664403,2,1,0,0
4,47.715874440437005,-1.0027228722872288,2804.0,2820.0,-9999.0,0.0,0.0,0,18.0,-0.9072623659154732,2.9444389791664403,2,1,0,0
5,-230.68750859321483,-1.0027228722872288,2804.0,2820.0,-9999.0,0.0,0.0,0,18.0,-0.9072623659154732,2.9444389791664403,2,1,0,0
6,117.47500899516038,-1.0027228722872288,2804.0,2820.0,-9999.0,0.0,0.0,0,18.0,-0.9072623659154732,2.9444389791664403,2,1,0,0
7,-65.88495827895561,-1.0030923092309232,3355.0,115.0,-9999.0,1.0,0.0,0,307.0,0.24192648953862814,5.730099782973574,3,1,0,0
8,-38.98992147075529,-1.0030923092309232,3355.0,115.0,-9999.0,0.0,0.0,0,307.0,0.24192648953862814,5.730099782973574,3,1,0,0
9,-23.287238693215382,-1.0030923092309232,3355.0,115.0,-9999.0,0.0,0.0,0,307.0,0.24192648953862814,5.730099782973574,3,1,0,0
10,-18.38926925551134,-1.0030923092309232,3355.0,115.0,-9999.0,0.0,0.0,0,307.0,0.24192648953862814,5.730099782973574,3,1,0,0
11,-22.92214821233163,-1.0030923092309232,3355.0,115.0,-9999.0,0.0,0.0,0,307.0,0.24192648953862814,5.730099782973574,3,1,0,0
12,-32.3371835490907,-1.0030923092309232,3355.0,115.0,-9999.0,0.0,0.0,0,307.0,0.24192648953862814,5.730099782973574,3,1,0,0
13,88578.76355891961,-1.0030923092309232,3355.0,115.0,-9999.0,0.0,0.0,0,307.0,0.24192648953862814,5.730099782973574,3,1,0,0
14,27.644266654854576,-1.0030923092309232,3355.0,115.0,-9999.0,0.0,0.0,0,307.0,0.24192648953862814,5.730099782973574,3,1,0,0
15,23.52816222430235,-1.0030923092309232,3355.0,115.0,-9999.0,0.0,0.0,0,307.0,0.24192648953862814,5.730099782973574,3,1,0,0
16,22.278386041693537,-1.0030923092309232,3355.0,115.0,-9999.0,0.0,0.0,0,307.0,0.24192648953862814,5.730099782973574,3,1,0,0
17,21.06486095664268,-1.0030923092309232,3355.0,115.0,-9999.0,0.0,0.0,0,307.0,0.24192648953862814,5.730099782973574,3,1,0,0
18,20.06956222999517,-1.0030923092309232,3355.0,115.0,-9999.0,0.0,0.0,0,307.0,0.24192648953862814,5.730099782973574,3,1,0,0
19,-32.93485960282332,-1.0030923092309232,3355.0,115.0,-9999.0,0.0,0.0,0,307.0,0.24192648953862814,5.730099782973574,3,1,0,0
20,-7.27184996393465,-1.0030923092309232,3355.0,115.0,-9999.0,0.0,0.0,0,307.0,0.24192648953862814,5.730099782973574,3,1,0,0
21,-3.436472730143421,-1.0030923092309232,3355.0,115.0,-9999.0,0.0,0.0,0,307.0,0.24192648953862814,5.730099782973574,3,1,0,0
22,-184.8855062656644,-1.0027930793079307,2962.0,3063.0,-9999.0,1.0,0.0,0,231.0,-0.06028234442161995,5.44673737166631,3,1,0,0
23,-154.16241953143015,-1.0027930793079307,2962.0,3063.0,-9999.0,0.0,0.0,0,231.0,-0.06028234442161995,5.44673737166631,3,1,0,0
24,-145.3117476144401,-1.0027930793079307,2962.0,3063.0,-9999.0,0.0,0.0,0,231.0,-0.06028234442161995,5.44673737166631,3,1,0,0
25,-180.2535697123277,-1.0027930793079307,2962.0,3063.0,-9999.0,0.0,0.0,0,231.0,-0.06028234442161995,5.44673737166631,3,1,0,0
26,238.25735005377888,-1.0027930793079307,2962.0,3063.0,-9999.0,0.0,0.0,0,231.0,-0.06028234442161995,5.44673737166631,3,1,0,0
27,237.11261345707763,-1.0027930793079307,2962.0,3063.0,-9999.0,0.0,0.0,0,231.0,-0.06028234442161995,5.44673737166631,3,1,0,0
28,365.40053738149663,-1.0027930793079307,2962.0,3063.0,-9999.0,0.0,0.0,0,231.0,-0.06028234442161995,5.44673737166631,3,1,0,0
29,403.2806138235488,-1.0027930793079307,2962.0,3063.0,-9999.0,0.0,0.0,0,231.0,-0.06028234442161995,5.44673737166631,3,1,0,0
30,131.62051440475943,-1.0027930793079307,2962.0,3063.0,-9999.0,0.0,0.0,0,231.0,-0.06028234442161995,5.44673737166631,3,1,0,0
31,64.27634674480903,-1.0027930793079307,2962.0,3063.0,-9999.0,0.0,0.0,0,231.0,-0.06028234442161995,5.44673737166631,3,1,0,0
32,59.76918817778084,-1.0027930793079307,2962.0,3063.0,-9999.0,0.0,0.0,0,231.0,-0.06028234442161995,5.44673737166631,3,1,0,0
33,951.7958264491097,-1.0027930793079307,2962.0,3063.0,-9999.0,0.0,0.0,0,231.0,-0.06028234442161995,5.44673737166631,3,1,0,0
34,-91.9596951578378,-1.0027930793079307,2962.0,3063.0,-9999.0,0.0,0.0,0,231.0,-0.06028234442161995,5.44673737166631,3,1,0,0
35,-44.27909911525227,-1.0027930793079307,2962.0,3063.0,-9999.0,0.0,0.0,0,231.0,-0.06028234442161995,5.44673737166631,3,1,0,0
